Month,DayofMonth,DayOfWeek,DepTime,Distance,dep_delayed_15min
19105,5,14,6,1804,430,0
65704,11,29,2,1145,286,0
19338,6,9,4,1751,1979,0
62826,12,11,1,1514,528,0
51920,1,19,4,752,595,0
8425,3,28,2,1819,430,0
27100,10,24,1,856,1597,0
38678,4,15,6,1002,250,1
89082,5,3,2,818,326,0
41674,11,11,6,801,67,0
32747,12,22,5,914,2576,0
23675,2,23,3,1455,813,1
73606,3,1,3,1147,2565,0
56284,1,27,4,1655,1217,0
3748,2,26,7,803,1652,0
73482,4,19,3,1305,828,0
6493,6,16,4,1446,1440,1
3651,8,16,3,730,554,0
2110,12,5,1,835,272,0
63321,4,18,2,825,2611,0
31555,10,19,4,823,602,0
89254,1,11,3,1637,109,1
26343,5,6,5,1740,284,0
44242,2,14,2,1645,1222,0
40254,3,25,6,1947,678,0
84708,2,17,4,951,328,0
62844,12,16,5,1255,223,0
48933,3,10,4,549,179,0
85400,7,25,2,735,264,0
66644,1,13,4,1725,842,1
68263,4,11,1,1429,599,0
79303,5,2,2,617,142,0
31640,10,20,5,945,316,0
33898,5,25,3,1822,517,0
92829,11,1,2,1736,919,1
10166,6,25,7,2159,631,1
93210,3,22,3,813,1189,0
46589,7,30,6,1453,163,0
76995,4,16,7,903,545,0
80004,11,15,2,2003,1501,0
89763,3,1,3,1341,1440,0
25842,2,9,4,2113,226,1
35362,8,20,7,1538,594,0
39930,12,19,1,830,332,0
52487,3,29,2,825,2329,0
89004,7,24,1,745,324,0
56543,2,24,5,1123,1660,0
62064,4,6,4,1011,1028,0
88653,6,26,7,1642,109,0
32154,11,18,6,1711,453,0
86417,4,22,6,1652,556,0
35931,2,9,4,1927,2846,0
91748,10,25,2,1610,226,0
60603,1,20,5,627,861,0
70588,1,31,2,1058,1726,0
67473,5,6,5,924,1334,0
15894,4,29,5,655,1521,0
18303,6,29,4,1823,254,1
73781,12,20,2,1715,867,0
61516,2,10,5,1600,472,0
60152,5,15,1,2025,413,0
52909,1,31,2,656,564,0
18968,10,7,5,1357,1300,0
23382,3,9,4,641,759,0
94138,6,13,2,2143,236,0
66984,12,29,4,658,334,0
59843,11,7,2,738,185,0
30174,10,12,4,601,1846,0
98081,11,10,4,9,2133,1
90574,2,6,1,1904,424,1
43479,4,17,7,1533,423,0
14616,6,11,6,1455,280,1
94679,10,4,3,1337,1199,0
76188,2,18,6,1750,279,1
68978,10,22,7,1331,719,0
96327,8,30,2,928,1195,0
77319,10,3,1,929,925,1
26418,12,22,5,907,1797,0
3848,10,1,6,1708,256,0
56305,11,10,4,1257,732,0
659,8,1,1,1301,605,0
87895,7,7,5,1728,214,0
57812,8,19,6,656,978,0
69797,11,4,5,2114,86,0
27457,1,2,1,1052,936,1
71654,7,20,4,1827,293,1
81467,3,26,7,906,1725,0
64101,7,13,3,1244,130,0
12129,5,19,4,535,491,0
48917,11,7,1,1902,364,1
35461,10,14,6,1740,638,1
95221,9,22,4,1120,345,0
39461,9,30,5,837,391,0
28042,6,17,5,1114,1504,0
9445,6,4,7,600,401,0
23289,7,17,1,759,2288,0
48842,9,19,1,921,2576,0
86039,9,3,6,1302,2398,0
51169,2,11,5,1423,1855,0
2085,7,10,7,1926,237,1
34175,9,2,5,1955,214,0
76510,2,14,2,1821,543,0
16578,2,3,4,1300,587,1
89751,11,3,4,1551,213,0
92436,11,20,7,1120,1520,0
20706,7,16,7,722,1674,0
31486,11,14,1,1439,416,0
37930,11,20,7,1238,2079,0
63853,2,1,2,1350,331,0
83324,12,16,5,1704,1431,1
4165,3,12,7,850,2416,0
30754,4,14,4,1401,332,0
62933,5,16,1,1340,667,0
20437,3,27,7,1108,762,0
94486,9,9,5,1335,780,0
19784,10,18,2,914,851,0
21291,1,6,4,1825,1844,1
87502,10,18,3,1846,397,1
47793,8,7,1,1352,612,1
51553,8,4,5,2047,752,0
95640,4,12,3,1023,109,0
94291,2,22,3,1054,603,0
94169,1,31,2,1350,533,0
58798,8,30,3,1439,603,0
33786,10,3,2,813,284,0
17019,7,4,2,1525,363,1
11861,5,8,7,927,406,0
43192,2,26,6,1310,460,0
93615,3,10,5,1823,1747,0
53081,9,20,3,1925,284,1
69244,9,5,2,1157,869,0
19789,6,22,3,1336,1069,0
54411,1,22,7,1917,325,1
88987,4,6,3,1132,1025,0
80896,6,16,5,850,229,0
22675,9,12,1,1403,155,0
55024,12,25,1,1406,102,0
54241,5,1,1,1600,134,0
6728,5,22,7,819,223,0
22059,12,23,5,1442,2585,1
42051,11,24,4,1357,1192,0
72485,7,8,6,1600,960,0
96910,1,9,7,1135,2615,0
76488,4,5,3,2225,173,1
93192,11,30,4,1000,227,0
19772,10,30,7,1530,276,1
98616,8,27,6,1702,413,1
62033,5,28,7,1426,177,0
23564,3,16,4,937,1874,0
94757,8,8,2,813,602,0
3918,3,14,2,627,992,0
74187,6,3,5,1903,936,0
51576,2,16,4,640,781,0
22056,6,9,4,2045,234,0
48666,3,21,1,624,297,0
92693,2,6,7,940,479,1
61059,12,28,4,1045,192,0
66913,10,21,6,825,137,0
27212,7,30,6,2023,332,1
38661,6,19,7,702,1133,1
98500,3,14,2,1536,540,1
37043,2,1,2,2006,1437,0
6636,9,3,7,1319,775,0
19758,7,1,6,1407,365,0
98669,9,1,4,2259,1900,0
85973,7,8,5,1912,404,1
35693,11,5,6,555,528,0
68169,4,24,7,1226,363,0
22898,6,5,7,2038,2475,0
58206,6,25,6,1047,304,1
54392,4,19,3,756,1005,0
55278,11,7,2,1115,1028,0
18585,8,16,2,1900,272,1
69504,12,22,5,1826,1076,1
42646,2,13,7,1725,888,0
8915,10,13,4,1102,216,0
18736,11,2,3,1310,550,0
52932,12,19,2,1843,2496,0
58695,9,15,4,1510,496,1
15057,10,26,3,1021,256,0
82931,11,21,2,1101,929,0
97218,11,6,1,2144,646,0
98551,5,20,6,1031,481,0
49358,5,4,4,2020,563,0
51662,11,22,2,2127,983,0
77808,8,7,7,1650,1123,0
2536,2,12,6,1714,842,0
30302,7,29,5,625,313,0
21311,2,4,6,2240,483,0
78220,12,22,4,1717,1212,0
29142,6,21,3,1635,1520,1
74225,4,5,3,1424,1605,0
8039,5,12,5,1022,135,1
24145,4,22,5,2005,410,0
48032,8,7,7,738,834,0
91248,5,28,7,2113,558,0
20689,4,10,1,1247,2036,0
33181,4,7,5,1741,1024,1
50692,12,9,5,2121,546,0
14556,8,26,6,807,448,0
44980,9,7,4,1850,431,0
1389,10,9,7,1229,256,1
83899,7,3,1,1507,689,0
65151,8,24,3,953,1005,0
67683,8,9,2,1421,680,1
46448,11,16,3,1027,533,0
1202,7,27,3,630,588,0
84154,9,9,6,1225,122,0
55853,1,3,2,1837,533,0
64195,7,22,5,2025,795,0
1060,8,3,3,1330,738,0
95838,7,10,1,1715,1703,0
43727,5,20,6,1200,351,1
89058,3,19,6,1417,809,0
26236,12,5,1,817,491,0
18186,12,19,2,1953,606,0
32899,8,25,4,1311,329,0
43355,6,11,7,2026,1745,1
74459,3,19,7,925,1750,0
55318,2,4,5,633,630,0
49589,1,12,4,705,403,0
39745,3,23,4,1644,152,1
8430,8,5,5,1623,391,0
74787,9,5,2,1823,594,0
37386,8,2,3,1425,116,0
33177,9,15,4,731,267,0
77312,3,20,1,2035,666,1
3297,8,3,3,840,239,0
21318,10,8,6,1517,432,0
45966,8,25,5,903,1844,0
24322,5,24,3,630,271,0
85702,2,9,3,706,1197,0
63812,2,25,5,1432,868,0
8047,9,9,5,1210,1390,0
34776,12,6,2,1850,86,0
21666,4,18,1,629,1076,0
99515,12,26,2,2115,446,1
11675,5,15,1,1400,337,0
9897,6,1,4,626,438,0
56819,12,4,7,1509,376,0
89367,7,27,3,2157,215,1
33796,4,2,6,1315,493,0
53567,11,22,3,617,239,0
52948,2,6,1,1940,872,0
75318,7,31,1,841,1028,0
7444,6,16,5,629,533,0
65173,10,3,2,1208,297,0
36709,8,2,3,1259,448,0
72666,11,20,7,635,978,0
77584,2,12,6,1854,1619,0
75034,1,18,3,1637,325,0
39316,10,2,1,2112,349,1
7246,5,16,2,1255,2253,0
39539,3,3,4,817,337,0
17495,11,22,2,2031,2066,0
84418,10,23,7,1438,337,0
76205,10,20,4,1041,861,0
50016,4,22,5,1844,342,0
94819,6,15,4,5,1747,1
46871,1,1,6,700,761,0
71241,3,23,4,1855,925,1
13403,4,2,7,640,1400,0
85405,5,8,1,1910,503,1
59590,11,8,2,1847,859,0
78278,4,4,1,2045,277,0
88284,5,5,5,851,733,0
95869,8,30,2,1215,1977,1
33071,7,6,4,710,631,1
1797,3,26,7,1646,683,0
81732,8,4,4,2031,320,0
76645,5,22,7,1008,860,0
6271,7,2,7,627,2253,0
85632,1,19,3,1916,402,0
53101,1,15,7,1138,316,0
74715,5,24,3,2106,298,0
29027,1,3,1,940,190,0
4102,10,19,4,1102,337,0
24297,5,10,2,1945,262,0
91412,11,26,7,1903,237,1
62666,6,5,1,1349,1570,0
47852,9,25,7,1642,948,0
15302,6,2,4,2035,555,0
7133,3,25,6,1435,1303,0
29901,8,18,4,1820,528,1
25459,3,10,4,1903,77,0
17843,1,20,4,1510,393,0
51895,7,13,3,928,1009,0
38989,12,3,6,1041,1541,0
80469,6,28,2,1400,337,0
64250,3,29,3,2034,601,0
71025,10,3,1,1948,158,0
15306,1,5,4,1416,313,0
88020,3,3,4,659,235,0
46868,3,20,1,1225,903,0
77924,8,16,2,1202,1399,1
62652,11,4,6,1810,819,0
30861,7,29,6,1020,670,0
8832,9,23,5,1620,2105,0
42390,3,21,1,1305,347,0
93633,8,9,3,2049,647,0
55397,12,28,4,2125,255,0
94928,5,18,3,1054,1846,0
9616,7,10,1,900,269,0
88632,5,10,3,1210,187,1
92020,5,23,2,1725,256,0
18591,6,4,7,2059,678,0
88094,5,19,4,630,417,0
65106,7,5,2,1138,761,0
50899,3,8,2,1122,224,0
18022,4,27,3,2059,781,0
26067,8,13,6,1942,770,0
84763,9,6,2,1804,238,0
98353,7,19,2,1536,1400,1
11277,10,16,7,1505,500,1
73322,11,28,2,1341,594,0
4783,2,8,3,1834,370,0
36284,11,21,2,1456,693,0
77803,12,28,3,1415,1723,1
43397,2,13,7,1815,487,1
65269,9,15,5,1506,872,0
37592,11,21,2,1639,431,1
15468,1,4,2,1144,552,0
73961,6,14,2,1511,173,1
85801,3,15,3,2255,2306,0
10389,12,11,7,1124,836,0
18398,9,13,3,1639,2689,0
56588,7,12,2,1021,163,1
13404,4,19,2,951,334,0
23029,4,24,1,1625,654,0
73202,12,27,3,1838,838,0
57592,8,18,4,1850,612,0
54923,6,14,3,835,793,0
15534,5,29,7,947,357,0
65929,6,14,3,1703,605,1
75736,7,3,7,1320,526,0
66476,1,24,2,1441,776,0
97752,6,5,1,1608,491,0
4516,3,28,1,2101,474,1
49730,10,30,7,1410,417,0
45411,7,25,2,954,919,0
2355,3,7,1,1027,931,0
32853,6,2,5,1724,432,1
76821,9,18,1,1105,332,1
82471,3,8,2,840,1123,0
23396,9,14,4,1810,1182,1
72658,9,19,2,1205,357,0
59552,2,2,4,1124,678,0
66504,1,18,2,1810,361,1
57745,6,28,2,620,389,0
97291,11,15,3,2058,150,0
28949,6,12,7,1755,849,1
88043,11,5,6,1728,160,0
24458,2,16,4,619,913,0
9549,7,25,2,1736,861,1
16740,7,9,6,1826,41,1
66905,12,30,6,827,2611,0
13493,5,2,1,1348,373,0
23381,11,25,6,622,920,0
20831,7,13,3,1944,2139,1
76866,1,24,2,1203,256,0
56375,9,22,4,1137,3365,0
59243,4,11,1,1338,758,0
75272,2,14,2,1746,595,0
13010,8,4,5,1824,179,1
20030,2,9,4,1012,581,1
75241,5,16,1,1455,615,0
30020,4,3,1,1115,446,0
30104,7,25,1,559,606,0
18846,2,25,5,1933,404,1
37516,5,31,2,926,1476,0
5285,8,23,3,2038,758,0
74332,11,19,7,1158,417,1
94849,2,10,4,1605,216,0
14305,8,3,4,2100,722,1
39856,4,28,5,1419,2342,0
99858,6,16,5,625,780,0
99934,8,14,7,1937,957,1
26347,9,20,2,1236,745,0
33781,2,27,7,1534,583,1
19172,5,6,5,910,136,0
20479,9,13,2,815,338,0
80554,1,23,7,1417,650,1
55519,6,9,4,1301,756,0
72116,3,2,3,1735,386,0
52383,10,17,1,1016,296,1
27217,4,25,2,1724,1069,0
42729,9,10,6,1745,303,0
39260,8,9,2,906,1126,0
82062,5,21,7,1627,304,1
66234,3,4,6,700,913,0
84676,12,10,6,1705,283,0
45165,7,20,4,1040,944,0
30182,1,17,1,1205,123,0
86731,2,14,1,2123,1426,0
86415,1,17,1,1558,321,0
6149,5,16,2,1522,369,0
68889,3,21,1,1411,631,0
24936,7,21,5,1559,109,0
99792,7,31,1,806,499,0
24902,3,31,4,1556,1979,0
65345,11,26,7,1805,1076,0
26873,2,1,3,553,1013,0
22652,8,19,6,929,2475,0
97055,12,31,6,1130,86,1
88460,1,27,4,908,719,1
96542,11,3,4,1544,1733,0
81963,5,25,3,816,1009,0
52874,10,28,6,650,787,0
42852,6,24,5,1550,1562,0
25455,4,17,1,713,229,0
79415,11,13,7,1753,569,0
95923,6,13,1,740,834,0
8248,8,10,4,1040,372,0
44092,6,2,4,1026,140,0
54421,6,4,6,1017,679,0
88576,8,3,4,1115,1774,0
85659,4,23,7,1455,546,0
23053,12,9,5,1939,667,1
83811,6,13,1,1541,1671,0
92572,12,6,2,1613,185,0
2013,8,5,5,1613,256,0
84176,6,6,1,1245,543,1
11346,5,13,6,1222,1035,0
44824,12,5,2,2106,1005,1
325,2,24,5,1010,1489,0
16523,7,6,3,1320,197,1
35446,3,14,1,1354,719,0
90748,10,3,2,1854,150,0
68821,1,19,4,1120,308,0
94930,6,26,1,1626,1814,0
46227,2,28,2,904,175,0
25617,9,30,5,2114,349,0
29965,10,3,1,1413,802,1
19614,3,9,4,2005,712,0
56823,8,3,3,920,508,0
83494,5,29,1,1014,1557,0
63201,8,26,5,630,303,0
39477,9,24,7,1659,427,1
97051,2,19,7,1238,1545,0
95991,4,21,5,1454,689,0
9383,7,22,5,643,376,0
74125,11,5,6,758,185,0
68812,9,30,5,937,714,0
19708,5,17,3,1008,622,0
84798,11,1,3,1842,889,0
60894,11,12,7,1415,110,0
51525,4,2,7,1352,1124,1
27702,8,28,1,1954,643,1
71271,10,22,6,1527,644,0
85290,2,16,3,713,1127,0
23087,2,23,4,1230,1754,0
50844,4,17,7,1728,238,0
97115,8,3,3,1115,852,1
25983,4,2,6,648,446,0
56430,5,12,4,1448,416,1
25737,4,11,2,637,919,0
96363,3,8,2,1242,230,0
92500,9,18,7,1535,264,0
95382,5,14,6,525,422,0
21045,3,19,6,1043,999,0
71030,1,18,2,1551,168,0
87567,7,6,4,626,2172,0
57254,4,16,7,1242,1269,0
44,9,8,5,809,366,0
28921,11,5,7,827,500,0
94028,12,10,7,1151,802,0
44322,4,14,4,733,168,0
75416,5,16,1,1525,305,0
20554,9,17,6,828,329,0
54039,6,3,6,1410,612,0
81924,9,1,5,2130,425,1
11027,8,1,2,1655,102,0
90340,12,12,1,1601,337,0
13867,8,14,7,1025,1093,0
79935,9,7,3,1602,213,0
6356,7,3,1,1557,102,0
13312,4,4,1,1115,368,0
53373,5,10,3,943,783,0
3556,1,16,7,1805,1041,0
47952,2,9,3,841,1389,0
50769,5,4,3,655,280,0
59308,11,1,2,1334,238,0
75692,8,15,2,1201,984,0
5766,12,31,7,1647,1005,0
97905,6,16,4,20,288,1
68792,9,8,5,1242,988,0
55417,9,9,5,614,399,0
62093,6,13,1,2137,594,1
19345,9,5,2,1735,403,0
86983,8,11,5,1648,432,1
91438,9,7,3,1113,299,0
50802,3,27,7,848,2462,0
99346,12,11,1,635,717,0
23424,10,27,4,1326,927,0
7391,3,14,1,1538,317,0
55744,5,19,4,2055,861,0
18729,5,11,4,2346,1576,0
49066,4,3,7,948,510,0
39885,11,22,3,1155,986,0
97005,12,3,7,1533,1068,0
39741,7,25,2,1500,213,0
38152,11,29,3,914,594,1
57682,2,10,4,921,319,0
38513,8,4,5,1902,251,0
76516,6,15,3,1815,646,1
80988,9,8,5,2212,329,0
32811,9,22,5,1001,239,1
16796,7,13,4,1730,2762,1
75334,3,14,1,1428,624,0
10150,3,28,1,2001,543,1
53374,9,19,1,1312,605,1
35811,2,10,4,520,702,0
50755,9,22,4,2048,143,0
75120,12,14,3,918,1750,0
69574,7,4,1,1925,645,0
66355,8,30,2,1429,109,0
87639,1,11,3,854,449,0
41438,1,30,1,551,549,0
83573,6,26,1,1057,678,1
84593,3,26,7,732,1703,0
85512,12,4,1,1930,332,0
54600,8,26,5,1334,2072,0
79346,3,23,3,1436,552,0
24826,7,25,1,1925,229,1
46680,10,20,4,815,98,0
66477,3,4,6,928,2615,1
10911,1,15,6,1718,236,0
73013,7,19,3,850,927,0
96296,7,13,3,1019,1829,1
87840,9,11,1,614,328,0
48396,6,27,1,925,1609,0
45415,9,7,4,1340,1213,0
19926,9,5,2,715,946,1
8678,6,16,5,1014,501,0
23341,7,24,1,1013,1389,0
35217,2,18,6,1728,588,0
92370,2,16,3,631,794,0
69028,11,5,7,1845,631,0
58349,9,7,3,2009,227,0
8000,3,12,6,1043,595,0
23295,8,17,4,1942,950,0
34572,3,24,5,957,1087,0
25217,1,17,1,606,921,0
72607,11,20,1,1734,643,0
72030,9,4,1,1220,102,0
30948,12,8,5,836,419,1
50874,10,1,7,1423,190,0
5209,4,10,7,2019,270,0
43370,7,30,7,1758,871,0
87671,12,21,4,1257,191,0
18495,3,5,6,1035,374,0
51384,3,3,4,2050,418,1
78784,7,27,4,911,261,0
17920,12,20,2,945,580,1
39498,12,2,6,1146,3329,1
76091,2,8,3,1423,1619,0
52184,8,2,2,55,1449,0
26227,10,4,3,632,150,0
63455,5,15,1,915,236,0
46973,6,2,5,557,1302,0
45023,7,5,2,1850,1464,1
71256,4,22,5,655,190,0
93431,4,15,5,655,838,0
92922,9,18,1,1412,1107,0
7835,12,10,6,1803,848,0
17770,1,19,4,1555,403,0
71727,5,5,4,1528,334,0
56412,12,14,3,1301,301,0
52706,10,20,5,1531,231,0
16842,4,7,4,710,209,0
67407,10,29,6,1640,284,0
54014,7,13,3,1545,367,1
93264,10,28,6,626,1119,0
55057,6,7,2,1235,748,0
82890,6,27,1,1222,529,0
10672,11,7,2,1102,116,0
10649,2,5,7,1749,308,0
20948,1,10,2,622,1891,0
2305,9,6,3,651,2465,0
18426,9,18,7,740,925,0
90151,11,11,6,607,630,0
85805,4,15,6,1748,1471,0
48235,12,25,7,2305,2176,0
47443,9,3,6,1247,163,0
46172,3,14,2,846,121,0
23209,5,14,7,605,853,0
46240,7,21,5,710,278,1
45961,2,19,7,1930,325,1
23344,11,11,5,1239,1964,0
84236,4,14,5,1645,539,0
10877,9,9,5,1545,795,0
44454,1,2,7,1655,332,0
45824,4,25,1,836,409,0
31795,11,21,2,939,594,0
71003,3,19,7,843,1086,0
51562,4,9,7,730,444,0
19882,9,25,1,921,299,0
6875,11,25,5,1230,370,0
51098,10,31,2,1524,913,0
10323,5,24,3,738,192,0
71329,11,23,3,1258,2133,0
71968,11,5,7,923,290,0
48830,5,22,1,1935,550,0
21142,5,21,6,1755,358,0
13621,5,18,3,1422,140,0
63335,5,2,2,1200,1449,0
77439,5,10,3,2105,588,0
21088,7,9,6,1447,846,0
7076,6,1,4,919,508,0
91911,4,15,5,927,601,0
99105,8,2,3,2003,187,0
5794,5,29,1,1650,1390,0
41686,10,28,6,1459,134,0
24937,4,16,7,1105,113,0
85499,10,17,1,1249,999,0
20478,12,8,4,655,148,0
31564,10,9,7,2126,277,1
76586,5,7,6,735,342,0
17841,5,4,3,1251,733,0
86905,1,13,5,1029,888,0
12634,7,22,5,2029,861,0
81247,4,5,3,734,532,0
88414,8,29,1,1740,682,1
32531,5,31,3,752,1597,0
41607,7,2,7,1258,190,0
55089,1,23,1,1138,2342,0
65102,1,9,1,1352,1199,1
71071,8,2,3,1358,1302,0
46587,11,13,7,1528,270,0
38941,7,19,2,1308,1171,0
3599,5,6,5,1804,338,0
77938,4,9,7,828,1347,0
93864,5,22,7,1627,1205,0
90890,1,6,4,738,1262,0
47487,9,19,2,1317,328,0
4213,11,30,3,1435,1635,0
8750,7,3,1,1648,2345,0
80763,9,16,5,1627,813,0
36638,3,20,1,1400,2486,0
24368,3,29,2,914,1536,0
75144,5,4,4,1626,1068,0
87084,3,9,3,2016,370,1
66246,4,27,3,1906,828,0
85615,3,17,4,556,783,0
53785,12,3,6,1455,140,0
92317,12,22,5,708,256,0
5180,7,16,6,928,187,0
21068,9,13,3,926,575,0
49074,2,10,5,1639,200,0
18594,5,5,4,1850,109,0
3136,7,29,6,1240,1017,0
99945,1,25,3,1151,804,0
91998,12,27,3,1013,457,0
83599,1,6,4,1042,1121,0
96736,6,8,3,641,86,0
66453,3,15,3,1616,1571,0
91338,6,20,2,1518,337,1
57327,3,2,4,2101,1979,1
47463,4,27,3,1538,542,0
19872,8,27,7,1338,288,0
47126,1,11,3,1736,1552,1
72813,3,7,1,2110,354,0
84081,3,29,3,1755,197,0
92077,6,5,7,1823,207,0
58784,3,21,2,815,1009,0
4519,3,2,4,1857,1197,0
27150,4,29,6,657,1674,0
4060,10,16,1,1005,1123,0
95130,10,24,2,726,723,0
10500,1,16,1,540,952,0
16465,2,28,2,1757,503,0
18864,9,2,6,1919,866,1
37838,8,17,4,637,248,0
68934,3,10,4,2022,214,0
89345,9,23,5,1015,748,0
922,6,7,2,1606,448,0
27168,2,27,7,1557,136,0
9954,2,13,1,1556,256,0
4011,10,4,3,842,1797,0
11427,10,7,6,1024,358,0
61951,10,10,1,1729,267,1
63892,6,3,6,738,693,0
255,4,12,3,925,874,0
37822,6,21,2,1251,1121,0
88235,10,16,1,1855,264,0
43900,2,14,1,2118,139,0
37961,2,2,3,1545,308,0
42700,6,5,1,558,743,0
48591,8,8,1,1910,230,0
27919,9,28,3,600,1194,0
24974,6,20,2,1230,1750,1
30396,4,20,3,1719,599,1
78488,1,22,7,1655,741,0
78506,2,27,7,1535,336,0
21027,4,27,4,1544,253,1
78364,11,11,5,1805,314,0
75729,12,6,3,957,725,0
12954,8,30,2,1055,623,0
91699,8,18,5,2010,325,0
62136,9,25,7,1425,590,0
93711,12,31,7,759,458,0
97773,9,12,2,1330,671,1
29101,1,28,5,630,542,0
69132,4,23,6,1157,432,0
31919,11,28,1,1852,253,0
87334,3,15,2,2122,646,0
38867,5,6,5,1232,313,0
65307,2,20,7,1039,337,0
88862,3,31,4,1919,221,0
60872,1,7,5,901,319,0
551,3,30,3,924,867,0
66645,4,10,7,1415,308,1
47348,4,13,4,1120,925,0
51004,9,4,7,1309,1013,0
79138,11,18,5,2017,326,0
82559,7,31,1,1942,997,0
11878,1,11,2,1320,2165,0
53691,7,10,7,1217,150,0
17790,8,3,4,724,615,1
25811,2,8,2,706,1608,0
25798,3,30,4,847,1521,0
25715,7,14,4,610,1608,0
61681,4,13,3,840,520,0
36374,7,4,2,1652,100,0
37544,10,23,7,1306,282,0
88568,9,9,5,1144,313,0
12745,11,19,7,808,86,1
54629,10,17,2,711,361,0
43252,10,9,1,1645,938,0
31853,7,28,5,1701,671,1
47141,9,21,3,710,221,0
38064,9,18,1,2218,407,0
28350,8,18,4,1621,1399,0
32289,12,4,7,1314,839,0
3418,9,2,6,958,919,0
6773,4,29,6,1206,528,0
97815,3,14,1,2025,861,1
57414,12,26,1,631,867,0
16251,4,4,1,928,405,0
87486,10,5,4,1323,571,0
69865,11,8,2,730,453,0
8457,8,31,4,706,372,0
90035,6,1,3,1415,1723,0
46366,2,2,4,655,972,0
75088,3,16,4,1543,200,1
15061,5,14,7,850,329,0
39601,10,21,5,850,2253,0
71391,3,22,2,1723,548,0
60021,1,9,1,1725,1999,0
50121,10,12,3,1055,469,0
67908,8,14,1,835,929,0
2437,7,5,3,728,1827,0
2357,6,21,3,1531,267,0
66999,2,21,1,1508,693,0
73985,11,23,3,1522,1440,0
7920,4,20,4,509,519,0
37254,12,28,4,1307,215,0
96652,9,7,4,1318,651,0
18363,10,11,3,1008,590,0
27727,10,10,2,1752,406,0
61386,4,8,5,1727,1576,0
65962,4,30,7,1215,288,0
55677,12,13,3,909,373,0
61261,1,26,4,850,2425,0
42338,9,6,2,1901,288,0
12838,11,13,7,1918,89,0
94642,9,27,2,1920,120,0
56459,9,24,6,1014,313,0
34871,12,12,1,1142,3365,0
98066,2,28,1,2028,1587,0
33485,8,29,1,1422,134,0
19009,5,22,7,2040,112,0
8231,3,18,5,1045,345,0
39279,4,30,7,1051,507,0
97673,1,18,2,2107,879,0
87699,8,8,2,1736,370,0
52293,11,28,2,2116,72,1
21798,7,31,7,2339,1747,1
3627,9,8,5,846,1721,0
70225,8,26,5,1248,540,0
55341,4,10,1,2020,342,0
451,12,30,6,1704,329,0
62667,6,26,7,2030,256,0
64190,3,25,5,1550,181,0
41126,6,13,1,1332,462,0
88445,9,16,6,1157,544,0
73943,4,18,1,1331,267,0
35950,12,7,4,1313,307,0
53921,5,12,4,1224,349,0
11962,4,2,7,850,397,0
6630,1,20,4,1013,194,1
30478,9,7,3,2011,215,0
23343,1,14,5,1053,370,0
51516,10,11,2,1031,618,1
22412,8,18,5,1917,919,0
69412,11,25,6,920,325,0
11234,8,8,1,531,590,0
62801,12,23,6,1816,1518,1
3098,7,31,7,557,551,0
25223,11,28,2,848,2053,0
55489,5,18,4,1854,522,0
50805,10,2,1,956,1557,0
5746,8,28,1,2143,201,1
65824,5,3,2,811,631,0
72999,12,15,5,1601,100,0
83049,11,22,2,2005,325,0
41915,8,21,7,622,559,0
69657,4,6,4,1540,543,0
47927,10,22,7,1726,1389,1
43258,12,31,6,1838,328,0
91185,4,10,7,1210,351,0
67572,11,30,4,656,370,0
97615,12,30,5,1933,533,0
15893,8,24,4,1515,978,0
97649,4,27,4,1509,859,1
23766,4,11,1,858,460,0
45818,5,22,1,643,761,0
40701,12,2,5,1627,542,0
9229,2,23,3,1440,325,0
54096,5,3,2,1357,733,0
65506,11,15,2,915,224,1
72648,7,3,7,1553,665,0
13882,10,1,6,1111,1172,0
11685,9,11,1,1003,337,1
83413,3,22,3,1405,1046,0
61694,11,21,2,1600,732,0
38650,9,10,6,525,527,0
7755,8,27,6,605,139,0
48333,3,12,7,1021,1240,0
63525,8,4,5,1958,473,1
28374,6,27,1,2020,268,0
29709,7,7,4,2156,689,1
30828,2,28,1,735,1246,0
53723,6,13,2,1755,1521,0
26641,7,23,7,927,223,0
61460,10,17,2,645,370,0
12210,7,24,1,2024,651,0
33203,4,23,6,916,1919,1
52125,3,11,5,1234,136,0
99293,12,21,4,1720,119,0
45705,11,7,2,851,2106,1
12831,4,18,1,1520,345,0
89241,3,30,4,833,758,0
76652,7,23,6,2004,861,0
41992,8,6,7,1418,732,0
71150,5,25,4,915,584,0
54339,11,25,5,1626,190,1
62289,4,30,7,1350,964,0
2226,12,8,4,625,64,0
25380,12,7,3,2014,406,0
80726,9,20,3,1410,590,0
84807,8,28,1,1318,874,0
17057,5,19,4,739,1482,0
34277,11,30,4,1623,828,0
26843,11,25,6,1648,2105,0
78739,4,7,5,2050,293,1
29919,8,4,5,2117,846,0
84666,6,2,5,1615,160,0
56817,7,18,1,655,1009,0
671,3,10,4,606,391,0
65669,8,24,4,1712,1464,0
33614,11,11,5,1049,175,1
6529,1,16,1,625,601,0
82524,3,7,2,2035,487,0
31597,6,28,2,1109,2586,0
59431,12,31,6,1338,1589,1
70484,11,1,3,839,936,0
24648,7,5,3,1030,853,0
73705,6,24,5,658,1587,0
83778,8,10,3,850,411,0
11001,9,1,5,1453,283,1
69991,10,21,5,2158,192,1
28515,8,31,3,1926,951,0
11077,2,17,5,727,100,0
30630,12,14,4,1731,646,0
36394,6,19,1,1611,1846,0
